Studio Name,Square Footage,Address,Phone,Email,Borough,Type
Jacob K Javits Center,119000,"429 11th Avenue, New York, NY 10001, United States",(212) 216-2335,sales@javitscenter.com,Manhattan,Convention
Buffalo FilmWorks,80000,"370 Babcock St., Buffalo, NY 14206, United States",716-207-5361,jennifer@buffalofilmworks.com,Other NY,Other
Buffalo Niagara Convention Center,64410,"153 Franklin St, Buffalo, NY 14202, United States",(716) 855-5544,paul@buffaloconvention.com,Other NY,Convention
New Century Studios,56795,"517 Neversink Drive, Port Jervis, NY 12771, United States",(845) 236-5535,peter.wei@centuryfilm.com,Other NY,Studio
Roy H. Park School of Communications (Ithaca College),54000,"953 Danby Road, Ithaca, NY 14850, United States",(607) 274-3331,cguest@ithaca.edu,Other NY,Educational
434 Sportsplex,53280,"1900 Vestal Parkway West, Vestal, NY 13850, United States",(607) 624-3436,roy@ttmtg.com,Other NY,Other
Soundstage at iPark 84,52600,"745 East Drive, Hopewell Junction, NY 12533, United States",(203) 979-7926,mmaduri@nationalresources.com,Other NY,Studio
The Warehouse,50000,"99 South 3rd Street, Hudson, NY 12534, United States",(518) 828-1501,mary@south99llc.com,Other NY,Other
Old Postal Distro Facility,50000,"55 Monsignor Valente Drive, Buffalo, NY 14206, United States",917-417-4939,dave@wnymgmt.com,Other NY,Other
Rochester Riverside Convention Center,49275,"123 East Main Street , Rochester, NY 14604, United States",(585) 770-2377,khughes@rrcc.com,Other NY,Convention
Pearl River Studios,44100,"401 North Middletown Rd., Pearl River, NY 10965, United States",(201) 819-8160,gdonatelli@pearlriverstudios.com,Other NY,Studio
Michelson Studio 3,40500,"2108 NY-22, Wingdale, 12594, United States",646-689-6528,michelsonnyc@gmail.com,Other NY,Studio
Grumman Studios,38841,"500 Grumman Road West, Bethpage, NY 11714, United States",(631) 689-1985,info@grummanstudios.com,Other NY,Studio
Gold Coast Studios,37700,"700 Hicksville Road, Bethpage, NY 11714, United States",(516) 576-3165,llaverty@goldcoaststudios.com,Other NY,Studio
Main Street Armory,35000,"900 East Main Street, Rochester, NY 14605, United States",(585) 232-3221,scottrmsa@gmail.com,Other NY,Other
